policyId,Gender,policyHolderAge,hasCanadianDrivingLicense,territory,hasAutoInsurance,hadVehicleClaimInPast,homeInsurancePremium,saleChannel,isOwner,rentedVehicle,hasMortgage,nbWeeksInsured,vehicleStatus
5,Female,46,1,5,0,Yes,88,26,0,1,NA,38,Recent vehicle
35,Male,40,1,25,0,Yes,1002,152,0,0,NA,32,Recent vehicle
39,Female,81,1,25,0,Yes,1358,26,0,1,NA,37,Recent vehicle
43,Male,30,1,25,0,Yes,1122,154,1,1,1,42,New vehicle
55,Male,43,1,25,0,Yes,88,3,0,0,NA,20,Recent vehicle
74,Female,44,1,24,0,Yes,1138,124,0,1,NA,26,Recent vehicle
93,Female,30,1,39,1,No,990,152,0,0,NA,21,New vehicle
95,Female,22,1,3,1,No,864,152,1,1,1,21,New vehicle
100,Female,32,1,23,1,No,1099,152,0,1,NA,11,New vehicle
101,Female,22,1,25,0,Yes,1271,160,0,1,NA,26,New vehicle
113,Female,41,1,25,0,No,1581,124,0,0,NA,21,Recent vehicle
121,Male,52,1,25,1,No,1188,124,0,0,NA,18,Recent vehicle
123,Female,34,1,25,0,Yes,1075,124,0,1,NA,22,Recent vehicle
137,Male,70,1,22,0,Yes,88,156,0,0,NA,17,Recent vehicle
150,Female,33,1,3,1,No,88,8,0,0,NA,29,Recent vehicle
154,Male,19,1,24,1,No,1145,152,0,0,NA,28,New vehicle
158,Female,20,1,45,0,Yes,1197,152,1,1,1,26,New vehicle
160,Male,23,1,45,1,No,1145,160,1,0,1,38,New vehicle
164,Male,52,1,45,0,Yes,2530,25,0,1,NA,4,Recent vehicle
175,Male,75,1,12,0,Yes,1080,26,1,1,0,45,Recent vehicle
179,Male,49,1,38,0,Yes,1252,26,0,1,NA,24,Recent vehicle
182,Female,18,1,45,0,Yes,1164,152,1,1,1,23,New vehicle
205,Male,26,1,5,0,No,88,152,1,0,1,9,New vehicle
208,Male,78,1,25,0,Yes,1837,3,0,0,NA,11,Recent vehicle
209,Female,27,1,20,1,No,1036,152,0,0,NA,28,New vehicle
212,Female,19,1,45,1,No,1029,152,0,0,NA,38,New vehicle
