policyId,predictedResponseVariable
5,1
35,0
39,0
43,1
55,1
74,0
93,1
95,1
100,0
101,0
113,0
121,1
123,0
137,1
150,0
154,0
158,1
160,0
164,0
175,0
179,1
182,0
205,1
208,1
209,1
212,0
213,1
220,0
224,1
237,1
262,1
271,0
281,0
282,0
293,0
296,1
328,0
334,0
335,1
340,0
346,1
353,1
363,1
384,0
391,1
403,1
405,1
411,1
438,1
442,0
445,1
446,1
447,0
458,0
459,1
461,0
468,1
469,1
482,1
494,0
495,0
499,0
500,0
515,1
545,1
549,0
566,0
571,1
580,1
585,0
597,0
604,0
605,0
608,0
625,0
660,1
668,0
669,0
672,0
673,1
683,1
703,1
708,1
710,0
712,1
715,1
725,1
731,0
734,1
735,1
744,1
753,0
759,1
761,1
762,0
767,0
768,0
801,0
805,0
825,1
848,1
857,1
863,1
865,0
885,0
890,1
898,1
899,0
915,0
925,0
932,0
933,1
935,0
936,1
945,0
947,0
952,1
956,0
960,1
962,0
967,0
973,0
981,1
989,0
996,1
1016,1
1039,1
1042,0
1059,0
1069,1
1084,1
1109,0
1118,1
1119,0
1145,1
1157,0
1166,0
1172,1
1179,0
1183,1
1195,1
1198,1
1217,0
1219,1
1230,0
1240,0
1242,1
1250,0
1257,1
1265,0
1278,1
1299,1
1303,1
1305,0
1337,0
1357,0
1378,1
1387,0
1445,0
1447,1
1457,1
1481,0
1482,1
1492,0
1498,1
1500,1
1523,1
1530,1
1545,0
1563,0
1578,0
1583,0
1603,1
1617,0
1624,0
1625,0
1641,0
1644,0
1648,0
1651,0
1657,0
1660,1
1667,1
1675,1
1677,0
1691,0
1692,0
1704,1
1718,0
1723,1
1737,1
1749,1
1756,0
1771,0
1773,0
1781,0
1786,0
1789,0
1804,1
1809,0
1815,1
1828,1
1837,1
1839,0
1841,1
1846,0
1853,0
1866,1
1869,0
1880,1
1885,1
1893,1
1899,0
1904,1
1913,0
1918,0
1924,0
1946,1
1979,0
1991,0
2001,0
2002,1
2010,0
2025,0
2040,1
2049,0
2060,0
2071,0
2080,0
2087,0
2099,1
2103,0
2116,1
2129,0
2151,0
2154,1
2161,0
2189,0
2220,1
2255,0
2264,0
2297,1
2309,1
2338,0
2339,1
2360,1
2381,1
2402,1
2403,1
2407,1
2417,0
2424,1
2427,0
2432,0
2443,1
2452,0
2462,0
2469,0
2504,1
2506,0
2510,0
2517,1
2518,0
2547,0
2567,1
2576,0
2577,1
2579,0
2599,0
2602,0
2608,1
2626,0
2641,1
2642,1
2646,1
2649,0
2654,0
2690,0
2698,1
2713,1
2714,0
2740,0
2758,1
2772,0
2791,0
2799,1
2801,1
2802,1
2811,1
2813,1
2814,0
2816,0
2817,1
2825,1
2826,1
2845,0
2846,1
2853,0
2858,1
2888,1
2890,0
2908,1
2920,1
2921,1
2940,0
2978,1
2981,0
3000,0
3002,1
3009,0
3010,1
3029,1
3031,0
3034,0
3037,0
3041,1
3044,1
3051,1
3056,0
3058,0
3062,1
3063,1
3079,1
3080,0
3083,0
3097,0
3116,1
3117,1
3123,1
3127,0
3131,0
3134,0
3145,0
3153,1
3159,1
3167,0
3189,0
3230,0
3242,0
3271,0
3277,1
3288,1
3309,1
3313,1
3319,1
3339,0
3345,1
3346,0
3359,0
3365,1
3368,0
3374,1
3378,1
3394,1
3398,0
3413,0
3418,1
3422,1
3434,0
3440,1
3458,0
3473,1
3485,1
3496,0
3499,0
3528,0
3535,1
3537,0
3542,0
3545,0
3547,1
3559,1
3560,1
3578,1
3582,1
3590,0
3602,1
3603,1
3627,0
3633,1
3636,1
3639,1
3669,0
3675,0
3680,0
3686,1
3692,1
3699,0
3700,0
3701,0
3704,1
3729,1
3734,1
3736,0
3751,1
3789,1
3790,1
3791,1
3817,1
3823,1
3837,0
3842,1
3849,1
3860,1
3864,0
3865,1
3875,0
3888,1
3892,1
3906,0
3929,1
3931,0
3944,0
3960,1
3965,1
3975,1
3981,1
3987,1
3995,0
3998,0
4005,0
4018,1
4025,1
4046,0
4063,0
4066,1
4099,1
4100,1
4103,0
4106,1
4124,1
4130,0
4144,0
4147,1
4152,1
4163,1
4165,0
4167,1
4219,0
4220,1
4227,1
4254,0
4257,1
4261,1
4269,1
4272,0
4277,0
4289,1
4295,1
4312,0
4319,1
4327,1
4332,1
4373,1
4377,0
4378,0
4410,1
4412,1
4426,1
4427,0
4450,0
4462,0
4482,0
4483,0
4496,0
4504,0
4511,1
4528,1
4538,1
4542,1
4543,1
4567,0
4595,1
4610,0
4622,0
4629,0
4643,0
4644,1
4647,0
4648,1
4655,0
4656,0
4681,1
4688,0
4698,1
4701,0
4716,0
4719,1
4727,1
4728,0
4729,0
4731,1
4732,1
4752,1
4753,1
4770,0
4772,1
4776,0
4796,1
4809,0
4810,1
4818,0
4820,0
4829,0
4834,0
4841,0
4856,1
4857,0
4867,1
4869,1
4888,0
4899,1
4939,0
4952,1
4965,1
4976,0
4979,0
5008,1
5011,0
5035,1
5047,0
5066,1
5071,1
5086,0
5096,0
5098,0
5099,1
5103,1
5104,0
5111,1
5118,0
5157,0
5160,0
5165,1
5170,0
5206,1
5208,0
5219,0
5220,1
5225,0
5226,0
5231,1
5254,0
5257,0
5268,0
5315,1
5317,0
5321,0
5331,0
5333,0
5334,0
5354,0
5379,1
5381,1
5388,1
5393,0
5399,0
5407,0
5421,1
5437,0
5439,1
5456,1
5457,1
5481,1
5486,1
5492,0
5493,0
5503,1
5524,1
5528,0
5542,1
5549,1
5550,0
5563,1
5565,1
5597,1
5627,0
5652,1
5669,0
5670,0
5676,0
5681,0
5682,0
5697,0
5699,1
5700,0
5704,0
5709,1
5723,1
5740,1
5746,0
5761,1
5762,0
5764,1
5770,1
5776,0
5777,1
5793,1
5817,0
5819,1
5823,0
5833,1
5839,0
5840,0
5856,1
5860,0
5861,1
5868,1
5882,0
5885,1
5910,1
5930,1
5958,0
5962,1
5965,1
5974,0
5981,0
6004,1
6010,0
6015,0
6039,1
6071,0
6082,0
6091,0
6092,0
6098,1
6102,1
6108,1
6115,1
6116,0
6117,0
6126,0
6146,1
6166,1
6177,0
6187,0
6205,0
6216,1
6219,1
6229,1
6232,0
6254,1
6264,1
6287,1
6342,0
6363,0
6371,0
6374,0
6376,0
6381,1
6399,1
6402,1
6423,1
6425,1
6429,1
6431,1
6442,1
6446,0
6457,0
6474,0
6480,1
6484,0
6489,1
6491,0
6502,0
6505,0
6521,1
6532,1
6554,1
6566,1
6584,1
6593,1
6605,1
6628,0
6629,0
6661,1
6668,1
6682,1
6692,1
6710,1
6719,1
6737,0
6741,0
6751,1
6752,1
6761,0
6784,0
6794,1
6819,0
6828,0
6829,1
6840,1
6853,1
